Nom station de métro,Temps vers station suivante (min)
Porte de la Villette,2
Corentin Cariou,2
Crimée,2
Riquet,2
Stalingrad,2
Louis Blanc,2
Château-Landon,2
Gare de l'Est,2
Poissonnière,2
Cadet,2
Le Peletier,2
Chaussée d'Antin - La Fayette,2
Opéra,2
Pyramides,2
Palais Royal - Musée du Louvre,2
Pont Neuf,2
Châtelet,2
Pont Marie,2
Sully - Morland,2
Jussieu,2
Place Monge,2
Censier - Daubenton,2
Les Gobelins,2
Place d'Italie,2
Tolbiac,2
Maison Blanche,2
Porte d'Italie,2
Porte de Choisy,2
Porte d'Ivry,0
